SampleID,omitted_tracer,Aq_class,LPM,n_active_full,tau1_full,tau1_reduced,delta_tau1_rel,w_full_cond,w_reduced_cond,information_ratio_cond,censored_cond,w_full_true,w_reduced_true,information_ratio_true,censored_true
EDTRPAS1-49,3He(trit),unconfined,DM,4,21.541561126708984,16.85215187072754,0.2176912447708877,0.7272790500428524,1.79935348001309,2.4740895257564057,True,1.1579644584096962,2.5434244856005535,2.1964616160098687,True
EDTRPAS1-49,SF6,unconfined,DM,4,21.541561126708984,28.454343795776367,0.3209044427377341,0.7272790500428524,0.920945041114465,1.2662884226628024,False,1.1579644584096962,0.8822492733597757,0.7618966773569397,False
EDTRPAS1-49,14C,unconfined,DM,4,21.541561126708984,21.457950592041016,0.0038813591167402,0.7272790500428524,0.7285243676044049,1.0017122967607537,False,1.1579644584096962,1.1638987396378078,1.0051247524783804,False
SCTXLUSRC1-16,3H,unconfined,DM,4,22.870927810668945,22.83322525024414,0.0016484928262165,0.8007995152845985,0.869743190053851,1.086093552073081,False,0.9002901395782827,0.9808799854945399,1.089515415501504,False
SCTXLUSRC1-16,3He(trit),unconfined,DM,4,22.870927810668945,23.015438079833984,0.0063185136327362,0.8007995152845985,1.2938394515775145,1.6156846087971133,False,0.9002901395782827,2.5732633969048044,2.858260113911924,True
SCTXLUSRC1-16,SF6,unconfined,DM,4,22.870927810668945,22.59032249450684,0.0122690831996422,0.8007995152845985,1.0565284808166324,1.3193420583442157,False,0.9002901395782827,1.2061113334260882,1.3396918175634573,False
SCTXLUSRC1-16,14C,unconfined,DM,4,22.870927810668945,22.914501190185547,0.0019051863517436,0.8007995152845985,0.7973233444150543,0.9956591246583,False,0.9002901395782827,0.8998121368698783,0.9994690570435122,False
SCTXLUSRC1-11,3H,unconfined,DM,4,17.464717864990234,17.456092834472656,0.0004938545577577,0.2729163258802146,0.3752913017757239,1.3751148838946432,False,0.3451345223933457,0.36446858178824165,1.0560189089773557,False
SCTXLUSRC1-11,3He(trit),unconfined,DM,4,17.464717864990234,30.687843322753903,0.7571336428096982,0.2729163258802146,0.6223491336219007,2.2803660851533496,False,0.3451345223933457,2.280433050147258,6.607374522645624,True
SCTXLUSRC1-11,SF6,unconfined,DM,4,17.464717864990234,10.370784759521484,0.4061865276214536,0.2729163258802146,1.2996722441166646,4.762163787471997,False,0.3451345223933457,1.3806362186092886,4.000284321125645,False
