decimal_year,H3_31to29_100to95,H3_31to29_105to100,H3_33to31_100to95,H3_33to31_105to100,H3_35to33_100to95,SF6_NH_pptv,C14_NHZone2_pmC
-43550,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,128.44681764973475
-43570,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,128.35774878642124
-43590,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,128.23712898768
-43610,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,128.14833324249065
-43630,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,128.0434704686401
-43650,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,127.93883981645764
-43670,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,127.81849291614571
-43690,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,127.73004644562
-43710,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,127.62564283847418
-43730,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,127.52123944827689
-43750,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,127.41709163077444
-43770,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,127.31320489485434
-43790,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,127.20907893970958
-43810,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,127.10522273562421
-43830,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,127.01714495325854
-43850,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,126.91337311794678
-43870,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,126.80963018621188
-43890,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,126.72179199999998
-43910,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,126.63406732039537
-43930,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,126.54646032072282
-43950,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,126.45871733655846
-43970,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,126.37109921109504
-43990,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,126.28361019473542
-44010,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,126.211839159899
-44030,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,126.12439860085604
-44050,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,126.05275908419189
-44070,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,125.98134064667317
-44090,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,125.90962341027152
-44110,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,125.83813406113194
-44130,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,125.76661376700827
-44150,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,125.69506535094229
-44170,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,125.62375647553219
-44190,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,125.56808866541897
-44210,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,125.49677835114173
-44230,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,125.44092421075518
-44250,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,125.38540010257249
-44270,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,125.32967510684753
-44290,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,125.2740192156971
-44310,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,125.21843569426807
-44330,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,125.17858753888858
-44350,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,125.13862356452871
-44370,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,125.09854541067453
-44390,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,125.05862669196492
-44410,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,125.01859843049968
-44430,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,124.99431260329395
-44450,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,124.95438266070673
-44470,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,124.93000225726232
-44490,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,124.90587165842496
-44510,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,124.88144300779133
-44530,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,124.8724829277596
-44550,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,124.84832830380239
-44570,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,124.83944498379647
-44590,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,124.83062194633557
-44610,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,124.82186156029509
-44630,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,124.81316621057704
-44650,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,124.80425764682381
-44670,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,124.81117212412045
-44690,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,124.80244114070327
-44710,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,124.79350092214449
-44730,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,124.80022118556144
-44750,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,124.80709398172067
-44770,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,124.79817579114084
-44790,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,124.80503789033814
-44810,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,124.81177325358263
-44830,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,124.81866944219291
-44850,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,124.8254417559949
-44870,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,124.83209094733807
-44890,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,124.83890669507673
-44910,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,124.86124165267007
-44930,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,124.86785567480973
-44950,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,124.89006642618654
-44970,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,124.91252730305288
-44990,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,124.93465663683506
-45010,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,124.95703968460239
-45030,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,124.99496005373152
-45050,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,125.0173081204589
-45070,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,125.05527137791097
-45090,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,125.07758931965598
-45110,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,125.11560072520771
-45130,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,125.15335981791127
-45150,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,125.19146217316089
-45170,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,125.22931365426051
-45190,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,125.26721314254002
-45210,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,125.30516209989939
-45230,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,125.34316199855549
-45250,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,125.39690681483253
-45270,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,125.43474855631051
-45290,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,125.4884129540626
-45310,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,125.52640249435612
-45330,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,125.5802942966008
